filename	word	vowel	freq_f1	amp_f1	width_f1	freq_f2	amp_f2	width_f2	freq_f3	amp_f3	width_f3	freq_h1	amp_h1	freq_h2	amp_h2	amp_h3	amp_p0	freq_p0	p0_id	p0prominence	a1p0_h1	a1p0_h2	a1p0_h3	a1p0	a1p0_compensated	freq_p1	amp_p1	a1p1	a1p1_compensated	a3p0	vwl_amp_rms	vwl_duration	timepoint	point_time	point_vwlpct	attempted_fix	status	errorflag	initial_bi
T0055G0016S0414	lau3	au3	500	49.73	157	1078	43.48	162	3448	23.89	368	125	34.75	250	38.51	42.2	38.51	250	H2	0.03	14.98	11.22	7.53367	11.22	13.47517	1000	43.48	6.25	11.80544	-14.61952	0.095992191	60	1	1.03	0	None	Auto	None	l
T0055G0016S0416	l??5	l	375	48.52	327	1136	28	884	2445	10.43	1018	125	40.17	250	43.53	48.52	43.53	250	H2	-0.81	8.35	4.99	0.00139	4.99	7.23083	875	35.45	13.07	14.95394	-33.10046	0.061582264	30	1	1.36	0	None	Auto	None	l
T0055G0016S0416	l??5	??5	500	45.8	251	1174	38.03	189	2656	6.18	1386	125	37.25	250	38.48	45.2	38.48	250	H2	-2.75	8.55	7.32	0.59821	7.32	9.59659	1000	33.16	12.64	16.23663	-32.29828	0.059101646	100	1	1.39	0	None	Auto	None	l
T0055G0016S0418	l?u2?	l?	250	40.83	160	1444	9.51	415	2714	4.34	553	125	37.4	250	40.83	38.01	40.83	250	H2	3.13	3.43	0	2.81885	0	2.70953	1000	11.67	29.16	31.07189	-36.4865	0.067764059	100	1	0.45	0	None	Auto	A1isP0	l
T0055G0016S0418	l?u2?	u2	406	52.17	230	1130	40.64	153	2945	12.93	885	125	43.01	281	42.5	52.17	43.01	125	H1	0.51	9.16	9.67	-0.00223	9.16	11.24239	938	35.54	16.63	19.92271	-30.07735	0.07382923	60	1	0.55	0	None	Auto	None	l
T0055G0016S0418	n??2n	n?_1	344	50.84	129	1882	20.31	542	3335	11.81	1407	156	44.53	344	50.84	37.57	50.84	344	H2	9.79	6.31	0	13.26932	0	3.88398	1000	22.34	28.5	30.01087	-39.03307	0.078816892	50	1	0.66	0	None	Auto	A1isP0	n
T0055G0016S0418	n??2n	?2	313	50.7	119	2614	13.44	1407	4172	38.91	153	156	43.45	313	50.7	46.1	50.7	313	H2	5.93	7.25	0	4.59927	0	3.00684	938	24.94	25.76	27.12766	-11.79034	0.081493	60	1	0.71	0	None	Auto	A1isP0	n
T0055G0016S0423	l?a5?	l?	469	47.76	233	1536	36.03	272	3107	27.41	632	156	40.34	313	44.89	47.76	44.89	313	H2	0.83	7.42	2.87	-0.00266	2.87	5.31514	938	29.4	18.36	20.39946	-17.47577	0.07263811	40	1	1.42	0	None	Auto	None	l
T0055G0016S0423	l?a5?	a5	469	51.55	92	1524	29.52	456	3051	16.31	934	156	43.05	313	45.2	51.55	45.2	313	H2	-2.1	8.5	6.35	-0.00365	6.35	8.94222	969	34.12	17.43	19.40899	-28.89316	0.072984773	30	1	1.46	0	None	Auto	None	l
T0055G0016S0426	l?uu4	l?	344	53.07	33	2071	28.27	129	3385	23.78	1051	188	50.26	344	53.07	30	53.07	344	H2	12.94	2.81	0	23.06674	0	8.88723	875	11.08	41.99	43.37408	-29.28577	0.07379284	80	1	0.59	0	None	Auto	A1isP0	l
T0055G0016S0426	l?uu4	uu4	344	54.12	92	1018	29.09	1801	2422	5.62	1320	188	46.76	344	54.12	37.38	54.12	344	H2	12.05	7.36	0	16.74031	0	4.46287	875	29.09	25.03	26.23131	-48.50132	0.080580502	80	1	0.67	0	None	Auto	A1isP0	l
T0055G0016S0432	n?i4	n_0	375	46.04	118	1495	11.7	916	2597	17.44	383	125	37.96	250	43.6	46.04	43.6	250	H2	1.6	8.08	2.44	0.00176	2.44	5.08527	875	25.32	20.72	22.27432	-26.15797	0.042993727	40	1	1.6	0	None	Auto	None	n
T0055G0016S0432	n?i4	?i4	375	46.93	165	1920	21.85	452	3076	10.87	3111	125	35.71	250	43.25	46.93	43.25	250	H2	1.93	11.22	3.68	-0.00387	3.68	6.09299	906	30.4	16.53	18.10944	-32.37894	0.042320269	70	1	1.64	0	None	Auto	None	n
T0055G0016S0433	l?uu4	l?	406	49.65	124	1122	34.17	211	2835	15.15	576	125	40.84	250	41.82	49.65	41.82	250	H2	-3.43	8.81	7.83	-0.00316	7.83	10.30087	906	33.82	15.83	18.74643	-26.66548	0.061848001	40	1	1.63	0	None	Auto	None	l
T0055G0016S0433	l?uu4	uu4	406	51.5	121	1143	31.5	411	3043	15.87	798	125	41.13	250	44.79	51.5	44.79	250	H2	-1.52	10.37	6.71	0.00456	6.71	9.26135	906	32.88	18.62	20.97404	-28.92165	0.055917107	120	1	1.67	0	None	Auto	None	l
T0055G0016S0441	n?2?	n	344	52.71	308	1315	42.38	180	2737	26.19	531	156	46.89	344	52.71	50.93	52.71	344	H2	3.8	5.82	0	1.7762	0	2.53571	1000	34.9	17.81	20.43329	-26.51779	0.105561964	30	1	0.97	0	None	Auto	A1isP0	n
T0055G0016S0441	n?2?	?2	500	50.67	143	1567	31.94	542	2546	25.6	564	156	45.15	344	50.52	50.67	50.52	344	H2	2.61	5.52	0.15	0.00018	0.15	2.91316	875	26.82	23.85	25.7459	-24.91705	0.105920143	50	1	1	0	None	Auto	None	n
T0055G0016S0442	l??4n	l?	375	58.23	65	1637	22.98	624	3297	16.06	1126	188	40.46	375	58.23	40.29	40.46	188	H1	17.85	17.77	0	17.93803	17.77	20.08182	906	28.17	30.06	31.64743	-24.3956	0.096966751	160	1	1.08	0	None	Auto	None	l
